Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
李　杜軒,Lotte,500,内野手,11,173,90,A型,右,右,台湾,1988-04-21,67,0.188,11,18,16,3,0,3,0,2,0,8,0,0,0.278,0.25,0.528,2.37,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
大木　貴将,Lotte,450,内野手,3,174,73,B型,右,左,千葉,1991-11-22,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
肘井　竜蔵,Lotte,510,外野手,5,182,88,A型,右,左,兵庫,1995-11-13,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ボルシンガー,Lotte,9e3,投手,1,185,97,不明,右,右,アメリカ,1988-01-29,86,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.16,11,1,0,0,0.917,331,83.1,64,5,28,0,65,23,20,1.1,3.31
シェッパーズ,Lotte,9e3,投手,1,193,90,不明,右,右,アメリカ,1987-01-17,87,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86,0,1,1,9,0,98,21,26,1,11,1,23,10,9,1.76,3.12
柿沼　友哉,Lotte,470,捕手,3,180,82,A型,右,右,茨城,1993-05-12,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
安江　嘉純,Lotte,240,投手,2,185,80,AB型,右,右,愛知,1992-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
和田　康士朗,Lotte,240,外野手,1,185,72,B型,左,左,埼玉,1999-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
森　遼大朗,Lotte,230,投手,1,180,80,A型,右,左,宮崎,1999-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
髙城　俊人,DeNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,0.136,28,75,66,9,0,3,2,2,2,25,4,1,0.183,0.152,0.335,0.23,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
白崎　浩之,DeNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
伊藤　光,Orix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,7,16,13,0,0,0,0,2,0,3,1,1,0.133,0,0.133,-1.81,-1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
市川　友也,Fighters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
赤間　謙,Orix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
